ts,i_bat_raw,u_bat_raw,t_cells,ca_ch,ca_disch
37.05175333,-4.000188182,3.1578941,30.507866,1.075726,0.19724689
37.135255,-3.999957182,3.1568584,30.520824,1.075726,0.20339635
37.21861667,-4.000006545,3.156003,30.529043,1.075726,0.20949203
37.302005,-4.000023455,3.1551886,30.529043,1.075726,0.21563068
37.30200667,-4.000023455,3.1551886,30.596571,1.075726,0.21563068
37.38541,-4.000023455,3.1540127,30.638914,1.075726,0.22174688
37.468785,-3.999916,3.1531067,30.682383,1.075726,0.22781132
37.552285,-4.000133182,3.1522675,30.686234,1.075726,0.23397334
37.63568167,-4.000010909,3.1513081,30.77619,1.075726,0.24005479
37.71915,-3.999919909,3.1504803,30.77619,1.075726,0.24621256
37.71915167,-3.999919909,3.1504803,30.776981,1.075726,0.24621256
37.80252667,-3.999883,3.1494551,30.824656,1.075726,0.25231475
37.88603333,-4.000066,3.1485519,30.837599,1.075726,0.25845942
37.96950167,-4.00003,3.1474438,30.837599,1.075726,0.26455706
37.96950333,-4.00003,3.1474438,30.862762,1.075726,0.26455706
38.05299833,-4.000288364,3.1466808,30.895191,1.075726,0.27068597
38.13645833,-3.999601273,3.1455574,30.895191,1.075726,0.27678663
38.13646,-3.999601273,3.1455574,30.957693,1.075726,0.27678663
38.21994,-3.999944182,3.1447105,30.957693,1.075726,0.28287059
38.21994167,-3.999944182,3.1447105,30.970667,1.075726,0.28287059
38.303275,-3.999613818,3.1436901,30.997715,1.075726,0.28901693
38.38671667,-4.000900909,3.1425943,31.028027,1.075726,0.29516846
38.47018,-4.000836727,3.1418266,31.028027,1.075726,0.30120233
38.47018167,-4.000836727,3.1418266,31.051105,1.075726,0.30120233
38.55367667,-3.999948545,3.1406374,31.051105,1.075726,0.30737618
38.55367833,-3.999948545,3.1406374,31.069387,1.075726,0.30737618
38.63710833,-3.999611636,3.1395807,31.085411,1.075726,0.3135415
38.720575,-4.000001364,3.1386929,31.143892,1.075726,0.31961846
38.80410167,-3.999722636,3.1376247,31.201416,1.075726,0.32568592
38.88750333,-4.000199909,3.1365662,31.185394,1.075726,0.3319017
38.97094167,-3.999925545,3.1355505,31.182192,1.075726,0.33801398
39.05427667,-4.000226364,3.1345015,31.182192,1.075726,0.34413114
39.05427833,-4.000226364,3.1345015,31.222559,1.075726,0.34413114
39.13775833,-4.000304364,3.1333637,31.245625,1.075726,0.35025617
39.22122667,-3.999803727,3.1323366,31.301065,1.075726,0.35637128
39.30472167,-4.000130091,3.1312046,31.318361,1.075726,0.36245057
39.38809833,-4.001224273,3.1301813,31.317234,1.075726,0.36858544
39.47157,-3.999693182,3.1290646,31.317234,1.075726,0.37467331
39.47157167,-3.999693182,3.1290646,31.36467,1.075726,0.37467331
39.55510167,-3.999836636,3.1278486,31.389776,1.075726,0.38086188
39.63862333,-4.000246273,3.1268101,31.465757,1.075726,0.38697523
39.72213333,-3.999316,3.1256342,31.4452,1.075726,0.39311126
39.805535,-4.000058182,3.1244507,31.441204,1.075726,0.39921206
39.88907,-3.999873545,3.1234064,31.470354,1.075726,0.40532613
39.972605,-3.999357182,3.121973,31.514702,1.075726,0.4114669
40.055945,-3.999781636,3.1208715,31.575417,1.075726,0.41757256
40.13947833,-3.999906455,3.1197205,31.510521,1.075726,0.42368084
40.22295833,-4.000268455,3.1184464,31.510521,1.075726,0.42980188
40.22296,-4.000268455,3.1184464,31.541899,1.075726,0.42980188
40.30645333,-4.000155727,3.117301,31.541899,1.075726,0.43594652
40.306455,-4.000155727,3.117301,31.622643,1.075726,0.43594652
40.38992333,-4.000063818,3.1159191,31.622643,1.075726,0.44207942
40.389925,-4.000063818,3.1159191,31.620728,1.075726,0.44207942
40.47341833,-3.999907364,3.1146708,31.620728,1.075726,0.4482047
40.47342,-3.999907364,3.1146708,31.640503,1.075726,0.4482047
40.55687333,-3.999979273,3.1133461,31.640503,1.075726,0.45432228
40.556875,-3.999979273,3.1133461,31.616175,1.075726,0.45432228
40.64029,-4.000273636,3.112011,31.644531,1.075726,0.46043932
40.723735,-4.000207273,3.1106386,31.660719,1.075726,0.46651182
40.80717333,-3.999858727,3.1094532,31.760805,1.075726,0.47265711
40.89071167,-4.000049909,3.1082191,31.765554,1.075726,0.47876152
40.97419,-4.000081545,3.1068001,31.765554,1.075726,0.4848932
40.97419167,-4.000081545,3.1068001,31.748236,1.075726,0.4848932
41.05760667,-3.999626455,3.1055279,31.753176,1.075726,0.49102458
41.141035,-3.999694909,3.1041298,31.79752,1.075726,0.49715513
41.22447667,-3.999877818,3.1027317,31.799438,1.075726,0.50325638
41.30789167,-4.000128,3.1014128,31.799438,1.075726,0.50938427
41.30789333,-4.000128,3.1014128,31.84586,1.075726,0.50938427
41.39140667,-3.999890455,3.1000004,31.817326,1.075726,0.51545346
41.474885,-4.000317,3.098609,31.822292,1.075726,0.52160466
41.55825667,-3.999700545,3.0971384,31.822292,1.075726,0.52774352
41.55825833,-3.999700545,3.0971384,31.858438,1.075726,0.52774352
41.64179833,-4.000010909,3.095809,31.858438,1.075726,0.5338226
41.6418,-4.000010909,3.095809,31.898939,1.075726,0.5338226
41.72522333,-4.000091091,3.0944643,31.898939,1.075726,0.53996301
41.725225,-4.000091091,3.0944643,31.917952,1.075726,0.53996301
41.80859833,-3.999643364,3.0930166,31.917952,1.075726,0.54607427
41.89204167,-4.000192545,3.0916586,31.958103,1.075726,0.55215037
41.975575,-3.999803727,3.0903091,31.958103,1.075726,0.55833608
41.97557667,-3.999803727,3.0903091,31.96895,1.075726,0.55833608
42.0591,-4.000222,3.0887642,31.980953,1.075726,0.56447369
42.142515,-4.000018273,3.0874596,31.99826,1.075726,0.57057822
42.22602333,-4.000759545,3.0860004,32.049778,1.075726,0.5767234
42.3095,-4.000026545,3.0847149,32.049778,1.075726,0.58281428
42.30950167,-4.000026545,3.0847149,32.020653,1.075726,0.58281428
42.39289333,-4.000072091,3.0830879,32.010235,1.075726,0.58894837
42.47638833,-4.000095455,3.0816975,32.010235,1.075726,0.59506613
42.47639,-4.000095455,3.0816975,32.048645,1.075726,0.59506613
42.55976333,-3.999682364,3.0801115,32.048645,1.075726,0.60118318
42.559765,-3.999682364,3.0801115,32.09903,1.075726,0.60118318
42.64321833,-3.999947636,3.0786486,32.093876,1.075726,0.6072731
42.72665167,-3.999421818,3.0770292,32.122238,1.075726,0.61342996
42.81006167,-4.000043455,3.0755749,32.149063,1.075726,0.61952096
42.89342333,-4.000391091,3.0739336,32.149063,1.075726,0.62565142
42.893425,-4.000391091,3.0739336,32.187256,1.075726,0.62565142
42.976925,-4.000044727,3.0723047,32.212536,1.075726,0.63179308
43.06044,-3.999236727,3.0708122,32.197151,1.075726,0.6378935
43.14381833,-3.999672818,3.0690174,32.209335,1.075726,0.64397848
43.22720667,-3.999933727,3.0674677,32.204002,1.075726,0.65009975
43.31069167,-4.000607364,3.0656347,32.235184,1.075726,0.65625155
43.39403833,-3.998686636,3.0639477,32.241276,1.075726,0.66232795
43.47748,-4.000177818,3.0621061,32.294678,1.075726,0.6684615
43.560965,-3.999808091,3.0604095,32.307804,1.075726,0.67461687
43.64446833,-3.999675,3.0585871,32.307804,1.075726,0.68074268
43.64447,-3.999675,3.0585871,32.337818,1.075726,0.68074268
43.72780667,-4.000133182,3.0566244,32.337818,1.075726,0.68682605
43.72780833,-4.000133182,3.0566244,32.391033,1.075726,0.68682605
43.81114167,-4.000009636,3.0546656,32.365768,1.075726,0.69297129
43.89454333,-3.999853545,3.0528631,32.365768,1.075726,0.69905293
43.894545,-3.999853545,3.0528631,32.384766,1.075726,0.69905293
43.977905,-3.999991,3.0507336,32.384766,1.075726,0.70517641
43.97790667,-3.999991,3.0507336,32.403969,1.075726,0.70517641
44.06129333,-4.000241091,3.0486937,32.403969,1.075726,0.71128958
44.061295,-4.000241091,3.0486937,32.427925,1.075726,0.71128958
44.14471167,-3.999980182,3.0467014,32.481495,1.075726,0.71743327
44.22821333,-3.999848364,3.0446386,32.481495,1.075726,0.72347689
44.228215,-3.999848364,3.0446386,32.50161,1.075726,0.72347689
44.31166,-3.999912545,3.0424824,32.543793,1.075726,0.72962528
44.39500833,-3.999518909,3.0400858,32.573059,1.075726,0.73577654
44.47849,-4.000011818,3.0378647,32.624363,1.075726,0.74189579
44.56190667,-4.000150091,3.0354214,32.600994,1.075726,0.74802744
44.64529667,-4.000395455,3.0332155,32.639175,1.075726,0.75414175
44.72880333,-3.999901273,3.0308943,32.639175,1.075726,0.76026636
44.728805,-3.999901273,3.0308943,32.692539,1.075726,0.76026636
44.812205,-4.000156545,3.0284195,32.692539,1.075726,0.76633471
44.89555167,-3.999923364,3.0258713,32.751797,1.075726,0.7724759
44.97905333,-3.999807182,3.0233583,32.76886,1.075726,0.77859378
45.062415,-4.000352091,3.0206385,32.783882,1.075726,0.78471923
45.14590667,-4.000325636,3.01791,32.783882,1.075726,0.79081589
45.14590833,-4.000325636,3.01791,32.817863,1.075726,0.79081589
45.22924333,-3.999876545,3.0152922,32.837051,1.075726,0.79695863
45.31265,-3.999717455,3.0124063,32.897232,1.075726,0.80307841
45.39607333,-3.999876545,3.0095425,32.897232,1.075726,0.80919856
45.396075,-3.999876545,3.0095425,32.908089,1.075726,0.80919856
45.47959333,-3.999563091,3.0062532,32.908089,1.075726,0.81530648
45.479595,-3.999563091,3.0062532,32.971298,1.075726,0.81530648
45.56300833,-4.000161818,3.003314,32.971298,1.075726,0.82140797
45.56301,-4.000161818,3.003314,32.974304,1.075726,0.82140797
45.64643833,-3.999789,3.0001192,32.974304,1.075726,0.82752037
45.64644,-3.999789,3.0001192,32.97604,1.075726,0.82752037
45.72982833,-3.999890455,2.9967222,33.032406,1.075726,0.83367175
45.81328333,-4.000077273,2.9933805,33.050434,1.075726,0.83977926
45.896765,-3.999927273,2.9899473,33.095787,1.075726,0.84589654
45.98019333,-4.000226364,2.9862118,33.12196,1.075726,0.85202044
46.06365167,-3.999728727,2.9825001,33.176025,1.075726,0.85812026
46.14705167,-3.999970636,2.9785366,33.218151,1.075726,0.86423743
46.23045667,-4.000189545,2.9744196,33.256313,1.075726,0.87036419
46.31393333,-3.999691909,2.9701185,33.256313,1.075726,0.87650669
46.313935,-3.999691909,2.9701185,33.260265,1.075726,0.87650669
46.39735,-4.001404545,2.9656229,33.260265,1.075726,0.88261455
46.39735167,-4.001404545,2.9656229,33.344669,1.075726,0.88261455
46.48071333,-3.998082727,2.9609413,33.36861,1.075726,0.88871092
46.56418,-3.999852273,2.9558611,33.36861,1.075726,0.89477813
46.56418167,-3.999852273,2.9558611,33.478779,1.075726,0.89477813
46.64764833,-4.000359455,2.9507704,33.478779,1.075726,0.90092075
46.64765,-4.000359455,2.9507704,33.486923,1.075726,0.90092075
46.731105,-3.999647636,2.9451733,33.486923,1.075726,0.90705276
46.73110667,-3.999647636,2.9451733,33.527706,1.075726,0.90705276
46.81446667,-4.000005727,2.9393854,33.638577,1.075726,0.91319209
46.897875,-4.000174364,2.9329777,33.612064,1.075726,0.91932982
46.98127667,-4.000991909,2.9264259,33.612064,1.075726,0.92542845
46.98127833,-4.000991909,2.9264259,33.671394,1.075726,0.92542845
47.06475667,-4.000271909,2.9192228,33.713291,1.075726,0.9315545
47.14820833,-4.000734,2.9116402,33.713291,1.075726,0.93766373
47.14821,-4.000734,2.9116402,33.707214,1.075726,0.93766373
47.23174333,-4.000141818,2.9033594,33.77491,1.075726,0.94378656
47.31512,-4.000281,2.8944359,33.77491,1.075726,0.94993013
47.31512167,-4.000281,2.8944359,33.826233,1.075726,0.94993013
47.39861667,-3.999872636,2.8845129,33.903526,1.075726,0.95602971
47.47751,-3.999883,2.8744917,33.903526,1.075726,0.9618094
